Job,Salary,Company,Location
Analista de People,Sueldo no mostrado por la empresa,Adecco,"El Salto, Jal."
Atención al cliente / Conocimientos en telefonía,"$7,999 - $8,000  Mensual",Servicios Empresariale...,"Pachuca de Soto, Hgo."
Practicante Administración,Sueldo no mostrado por la empresa,OXXO - PLAZAS,"Querétaro, Qro."
Cajero universal/Ayudante General,"$7,000 - $7,700  Mensual",Servicio Pan Americano...,"Mexicali, BC."
BECARIO SERVICIO AL CLIENTE,"$6,420  Mensual",Qualitas Compañía de S...,"Reynosa, Tamps."
Capturista de datos,"$6,000 - $7,000  Mensual",Conduent de México SA ...,CDMX
CHOFER REPARTO DE REFACCIONES,"$8,000  Mensual",Asoc. Mexicana de Dist...,"Benito Juárez, CDMX"
Ejecutivo de recuperación de cartera vencida,Sueldo no mostrado por la empresa,Empresa confidencial,"Puebla, Pue."
Ejecutivo de Cobranza Domiciliaria CDMX y Estado de México,"$7,000 - $9,000  Mensual",PENDULUM S DE RL DE CV,CDMX
Ejecutivo de servicio a estudiantes,Sueldo no mostrado por la empresa,Escuela Bancaria y Com...,"Mérida, Yuc."
Vendedor de neumáticos,"$11,000 - $16,000  Mensual",Empresa confidencial,"Guadalajara, Jal."
Recaudador de fondos para Ballet de Monterrey,"$25,000  Mensual",Desarrollos Delta,"Monterrey, N.L."
Supervisor de auditoría externa,Sueldo no mostrado por la empresa,Empresa confidencial,"Guadalajara, Jal."
Cocinero c/ experiencia $14mil + propinas Plaza Auriga,"$14,000 - $16,800  Mensual",SAS EMPRESARIAL DE SAL...,"San Pedro Garza García, N.L."
Analista de crédito,"$10,600 - $15,000  Mensual",Kelly Services,"Miguel Hidalgo, CDMX"
Licenciada/ Ingeniera en Estadistica,"$15,000 - $16,000  Mensual",K3 SOLUCIONES A LA IND...,"Monterrey, N.L."
Coordinador Jurídico de cumplimiento,"$22,000 - $28,000  Mensual",Grupo Star Médica,"Cuauhtémoc, CDMX"
LAVADORES DE AUTOS,"$10,500  Mensual",Asoc. Mexicana de Dist...,"Benito Juárez, CDMX"
Analista de People,Sueldo no mostrado por la empresa,Adecco,"El Salto, Jal."
Atención al cliente / Conocimientos en telefonía,"$7,999 - $8,000  Mensual",Servicios Empresariale...,"Pachuca de Soto, Hgo."
Practicante Administración,Sueldo no mostrado por la empresa,OXXO - PLAZAS,"Querétaro, Qro."
Cajero universal/Ayudante General,"$7,000 - $7,700  Mensual",Servicio Pan Americano...,"Mexicali, BC."
BECARIO SERVICIO AL CLIENTE,"$6,420  Mensual",Qualitas Compañía de S...,"Reynosa, Tamps."
Capturista de datos,"$6,000 - $7,000  Mensual",Conduent de México SA ...,CDMX
CHOFER REPARTO DE REFACCIONES,"$8,000  Mensual",Asoc. Mexicana de Dist...,"Benito Juárez, CDMX"
Ejecutivo de recuperación de cartera vencida,Sueldo no mostrado por la empresa,Empresa confidencial,"Puebla, Pue."
Ejecutivo de Cobranza Domiciliaria CDMX y Estado de México,"$7,000 - $9,000  Mensual",PENDULUM S DE RL DE CV,CDMX
Ejecutivo de servicio a estudiantes,Sueldo no mostrado por la empresa,Escuela Bancaria y Com...,"Mérida, Yuc."
Vendedor de neumáticos,"$11,000 - $16,000  Mensual",Empresa confidencial,"Guadalajara, Jal."
Recaudador de fondos para Ballet de Monterrey,"$25,000  Mensual",Desarrollos Delta,"Monterrey, N.L."
Supervisor de auditoría externa,Sueldo no mostrado por la empresa,Empresa confidencial,"Guadalajara, Jal."
Cocinero c/ experiencia $14mil + propinas Plaza Auriga,"$14,000 - $16,800  Mensual",SAS EMPRESARIAL DE SAL...,"San Pedro Garza García, N.L."
Analista de crédito,"$10,600 - $15,000  Mensual",Kelly Services,"Miguel Hidalgo, CDMX"
Licenciada/ Ingeniera en Estadistica,"$15,000 - $16,000  Mensual",K3 SOLUCIONES A LA IND...,"Monterrey, N.L."
Coordinador Jurídico de cumplimiento,"$22,000 - $28,000  Mensual",Grupo Star Médica,"Cuauhtémoc, CDMX"
LAVADORES DE AUTOS,"$10,500  Mensual",Asoc. Mexicana de Dist...,"Benito Juárez, CDMX"
VENDEDOR DE REFACCIONES,"$6,223  Mensual",Asoc. Mexicana de Dist...,"Gustavo A. Madero, CDMX"
Jefe de contabilidad,Sueldo no mostrado por la empresa,Empresa confidencial,"Celaya, Gto."
Asesor telefónico,Sueldo no mostrado por la empresa,Empresa confidencial,"Apodaca, N.L."
ASESOR DE VENTANILLA EN ALMACÉN,"$7,000 - $12,000  Mensual",Asoc. Mexicana de Dist...,"Huixquilucan, Edo. Méx.​"
R6 City Manager,Sueldo no mostrado por la empresa,Huawei Technologies En...,"Querétaro, Qro."
AUXILIAR ADMINISTRATIVO MONITOREO GPS,"$10,000 - $10,500  Mensual",WALDO'S DOLAR MART DE ...,"Lerma, Edo. Méx.​"
